,State Name STR,TEMPERATURE (degree Centigrade)-Mean,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Mean,pH-Mean
0,ANDHRA PRADESH,25.782608695652176,1467.6521739130435,1.2992607144360662,7.0782608695652165,8.423423787383088,375.858204978838,7.456521739130435
1,ASSAM,22.90625,521.75,1.840625,0.8140625,33.90625,264.09375,6.88125
2,BIHAR,24.65,556.8,2.1355400704556575,1.9798018865691742,6.0,11.45,7.8950000000000005
3,CHANDIGARH,24.923290350787646,987.2798136368496,0.5913285499832259,7.217541992475757,42.55328410067614,191.97924356749837,7.281327512204588
4,CHHATTISGARH,27.75,1794.25,0.8,32.0,39.80920796124324,94.90422953998174,7.9
5,DAMAN AND DIU,26.568399656212588,1603.0,38.5,46.55,48.21495729599542,204.62612612896206,7.5
6,GUJARAT,28.322580645161292,2644.548387096774,3.0661290322580643,2.2931669524285634,149.25333048079312,339.9549962651524,7.711290322580646
7,HIMACHAL PRADESH,23.842105263157894,730.1578947368421,2.321452505644693,3.9015896240799495,34.081570215906275,160.0932472933177,7.536842105263157
8,KERALA,27.633333333333333,252.73333333333332,0.7466666666666666,4.383333333333334,121.97656395594744,332.43333333333334,6.09
9,MADHYA PRADESH,26.34812499393604,1407.0,1.5365737909887893,4.686640588624961,41.75819001221189,87.09042326988116,7.521428571428571
10,MAHARASHTRA,26.96,2307.92,6.564,4.102,26.06457956897743,179.26043625281488,7.632000000000001
11,MANIPUR,26.5,264.75,2.1244465162237907,3.7167112624695022,44.07901251206406,146.67852340328136,6.825
12,MIZORAM,20.0,509.0,1.65,4.059012988647746,40.90550211779791,11.5,6.6
13,ORISSA,24.466666666666665,515.5712995668005,0.8022024667378017,10.526666666666667,2.0,2.0,7.586666666666667
14,PONDICHERRY,30.307692307692307,1011.6923076923077,2.294473689610743,1.7978861759633777,45.04200964464947,183.74349868465092,7.199999999999999
15,PUNJAB,26.714595385039214,796.8333333333334,2.1225025701083196,4.816666666666666,43.82298708428957,182.626020900591,7.2
16,RAJASTHAN,27.18918918918919,3157.837837837838,1.4324324324324325,2.305405405405405,4.5675675675675675,209.54054054054055,7.881081081081081
17,TAMIL NADU,30.0,1315.0,1.0999999999999999,0.46499999999999997,84.0,133.5,7.199999999999999
18,TRIPURA,27.0,204.28571428571428,2.12407556037249,1.6488030723545346,0.0,0.0,6.8428571428571425
19,UTTAR PRADESH,26.36605417526814,1294.925444752117,2.0249988871407645,4.125977840443398,34.02350698426146,140.51672939826193,7.167999999999999
20,WEST BENGAL,29.379310344827587,1273.8620689655172,0.9413793103448276,0.3206896551724138,20.689655172413794,35.48275862068966,7.779310344827586
